id,name
1,Togo
2,Gibraltar
3,Lebanon
4,Ghana
5,Christmas Island
6,Gabon
7,Ukraine
8,Saint Kitts and Nevis
9,Svalbard & Jan Mayen Islands
10,Pitcairn Islands
11,Cayman Islands
12,Eswatini
13,Norfolk Island
14,Tajikistan
15,Cook Islands
16,Croatia
17,Myanmar
18,French Southern Territories
19,Denmark
20,Peru
21,Poland
22,Thailand
23,Holy See (Vatican City State)
24,Palestine
25,Cameroon
26,Democratic People's Republic of Korea
27,French Guiana
28,"Bonaire, Sint Eustatius and Saba"
29,Vietnam
30,Comoros
31,Kenya
32,Fiji
33,Hong Kong
34,Mayotte
35,Mozambique
36,Azerbaijan
37,South Sudan
38,Honduras
39,Mauritania
40,Switzerland
41,Chad
42,Italy
43,Ireland
44,Sri Lanka
45,Guyana
46,Solomon Islands
47,Uganda
48,Israel
49,Dominican Republic
50,Reunion
51,Sint Maarten
52,Grenada
53,Ethiopia
54,Panama
55,Sierra Leone
56,Afghanistan
57,Guinea
58,Timor-Leste
59,Moldova
60,France
61,Malawi
62,American Samoa
63,United Kingdom
64,North Macedonia
65,Finland
66,Niger
67,Serbia
68,Guadeloupe
69,Mexico
70,United States Minor Outlying Islands
71,Maldives
72,Belize
73,Netherlands
74,Slovenia
75,"Virgin Islands, U.S."
76,Antigua and Barbuda
77,Armenia
78,Georgia
79,Kyrgyz Republic
80,New Caledonia
81,Australia
82,Liechtenstein
83,Montserrat
84,Dominica
85,Belgium
86,Malaysia
87,Marshall Islands
88,Colombia
89,Paraguay
90,Mongolia
91,Niue
92,Greenland
93,Greece
94,Bhutan
95,Canada
96,Austria
97,Norway
98,Bulgaria
99,Mali
100,Tanzania
101,Venezuela
102,Andorra
103,Russian Federation
104,Yemen
105,Morocco
106,Bouvet Island
107,Monaco
108,Suriname
109,Malta
110,Tokelau
111,Jamaica
112,Isle of Man
113,Egypt
114,Botswana
115,Tunisia
116,Nauru
117,Lesotho
118,Bermuda
119,Saint Lucia
120,Qatar
121,Martinique
122,Iceland
123,Nicaragua
124,Montenegro
125,Djibouti
126,British Indian Ocean Territory (Chagos Archipelago)
127,Somalia
128,Barbados
129,Latvia
130,China
131,Wallis and Futuna
132,Sao Tome and Principe
133,Tonga
134,"Virgin Islands, British"
135,Portugal
136,Singapore
137,Taiwan
138,Republic of Korea
139,Senegal
140,Namibia
141,San Marino
142,Turks and Caicos Islands
143,Falkland Islands (Malvinas)
144,Haiti
145,Burkina Faso
146,Samoa
147,New Zealand
148,Aland Islands
149,Vanuatu
150,Central African Republic
151,Uzbekistan
152,Puerto Rico
153,Saint Helena
154,Saint Martin
155,Kuwait
156,Zambia
157,Turkey
158,Cocos (Keeling) Islands
159,Faroe Islands
160,Benin
161,Guatemala
162,Heard Island and McDonald Islands
163,Philippines
164,Rwanda
165,Guinea-Bissau
166,Western Sahara
167,Kiribati
168,Bolivia
169,Eritrea
170,Sudan
171,Romania
172,Papua New Guinea
173,Albania
174,Uruguay
175,Bahrain
176,Chile
177,Bosnia and Herzegovina
178,Lithuania
179,Ecuador
180,Jordan
181,Algeria
182,Brazil
183,Equatorial Guinea
184,United States of America
185,Sweden
186,United Arab Emirates
187,Gambia
188,Bangladesh
189,Brunei Darussalam
190,Spain
191,Seychelles
192,Angola
193,Palau
194,Pakistan
195,Aruba
196,El Salvador
197,Germany
198,Liberia
199,Libyan Arab Jamahiriya
200,Cambodia
201,Argentina
202,Hungary
203,Iran
204,Mauritius
205,India
206,South Georgia and the South Sandwich Islands
207,Kazakhstan
208,Nigeria
209,Lao People's Democratic Republic
210,Saint Pierre and Miquelon
211,French Polynesia
212,Antarctica
213,Cape Verde
214,Tuvalu
215,Curacao
216,Burundi
217,Luxembourg
218,Bahamas
219,Iraq
220,Japan
221,Czechia
222,Guernsey
223,Saudi Arabia
224,Cyprus
225,Syrian Arab Republic
226,Northern Mariana Islands
